nDatabases,trueEffect,publicationBias,method,precision,coverage,type1,type2,reproEstimateInCi,reproDisagreeCi,sign,signReproSign,precisionPi,coveragePi,type1Pi,type2Pi,reproEstimateInPi,reproDisagreePi,signPi,signPiReproSign,meanNstudies
4,null,FALSE,Bayesian random effects,2.0181255165177174,0.962,0.038,0,0.747,0.171,0.038,0.012,0.4594344484991442,0.998,0.002,0,0.93,0.06,0.002,0,1
4,null,FALSE,Fixed effects,16.325541384617168,0.455,0.545,0,0.336,0.347,0.545,0.168,16.325541384617168,0.455,0.545,0,0.336,0.347,0.545,0.168,1
4,null,FALSE,Random effects,4.679669069353213,0.77,0.23,0,0.593,0.22,0.23,0.065,0.7126921154633099,0.97,0.03,0,0.853,0.095,0.03,0.006,1
4,null,TRUE,Bayesian random effects,3.4602343572947336,0.869,0.131,0,0.553,0.166,0.131,0.033,0.818563248471869,0.996,0.004,0,0.845,0.082,0.004,0,3.679
4,null,TRUE,Fixed effects,26.090338209291723,0.019,0.981,0,0.212,0.245,0.981,0.21,26.090338209291723,0.019,0.981,0,0.212,0.245,0.981,0.21,3.679
4,null,TRUE,Random effects,11.99468472845141,0.063,0.937,0,0.32,0.199,0.937,0.201,2.558772618248716,0.84,0.16,0,0.611,0.127,0.16,0.038,3.679
4,fixed,FALSE,Bayesian random effects,1.8057279185509663,0.962,0,0.078,0.754,0.169,0.922,0.872,0.4197306719924834,0.999,0,0.425,0.937,0.054,0.575,0.548,1
4,fixed,FALSE,Fixed effects,14.624029261042505,0.503,0,0.006,0.357,0.338,0.994,0.939,14.624029261042505,0.503,0,0.006,0.357,0.338,0.994,0.939,1
4,fixed,FALSE,Random effects,4.285492452089423,0.79,0,0.051,0.608,0.218,0.949,0.897,0.6827810462503154,0.967,0,0.42,0.846,0.093,0.58,0.55,1
4,fixed,TRUE,Bayesian random effects,1.5157095195926304,0.96,0,0.022,0.707,0.117,0.978,0.812,0.3797871360584431,1,0,0.461,0.927,0.053,0.539,0.459,1.074
4,fixed,TRUE,Fixed effects,5.319677626616205,0.715,0,0,0.446,0.199,1,0.829,5.319677626616205,0.715,0,0,0.446,0.199,1,0.829,1.074
4,fixed,TRUE,Random effects,2.7869047185957063,0.86,0,0,0.568,0.152,1,0.829,0.51654418002035,0.985,0,0.435,0.842,0.062,0.565,0.478,1.074
4,random,FALSE,Bayesian random effects,1.9672210162746706,0.912,0,0.102,0.779,0.174,0.898,0.876,0.436021458682517,1,0,0.454,0.943,0.054,0.546,0.536,1
4,random,FALSE,Fixed effects,20.77456607932717,0.386,0,0.005,0.311,0.464,0.995,0.965,20.77456607932717,0.386,0,0.005,0.311,0.464,0.995,0.965,1
4,random,FALSE,Random effects,4.634400719696413,0.704,0,0.071,0.601,0.266,0.929,0.905,0.6333874499564132,0.921,0,0.444,0.87,0.101,0.556,0.545,1
4,random,TRUE,Bayesian random effects,1.639134034581716,0.924,0,0.044,0.704,0.124,0.956,0.836,0.397553569667534,0.999,0,0.486,0.93,0.035,0.514,0.465,1.11
4,random,TRUE,Fixed effects,6.6321861388460155,0.602,0,0,0.404,0.216,1,0.866,6.6321861388460155,0.602,0,0,0.404,0.216,1,0.866,1.11
4,random,TRUE,Random effects,3.098893297261538,0.793,0,0,0.559,0.168,1,0.866,0.5344904730744232,0.965,0,0.44,0.847,0.067,0.56,0.497,1.11
10,null,FALSE,Bayesian random effects,6.013969449651631,0.735,0.265,0,0.611,0.246,0.265,0.101,0.7413928195997693,0.999,0.001,0,0.913,0.069,0.001,0.001,1
10,null,FALSE,Fixed effects,42.1177492480025,0.285,0.715,0,0.266,0.379,0.715,0.265,42.1177492480025,0.285,0.715,0,0.266,0.379,0.715,0.265,1
